SampleId,Area_Name,Area_Code,Latitude,Longitude,Year,Month,Day,Hour,Minute,PCI
432M--15,4.a,3,58.193,2.287,2015,9,9,23,23,2
433A--7,4.a,3,58.49,-1.6183,1985,7,10,0,21,1
433A--15,4.a,3,59.7883,-1.3183,1985,7,9,18,37,1
433LG-17,4.b,2,55.667,6.55,2020,12,17,16,52,1
433M--1,4.b,2,57.252,-1.495,2015,10,7,12,2,1
433M--23,4.a,3,58.698,4.822,2015,10,8,15,21,1
434LG-15,4.b,2,56.293,7.26,2021,1,15,15,40,0
434M--17,4.a,3,58.318,2.85,2015,11,5,4,30,1
435A--3,4.a,3,57.8217,-1.5783,1985,9,11,4,19,0
435A--15,4.a,3,59.81,-1.1583,1985,9,10,20,48,1
435LG-17,4.b,2,56.523,7.503,2021,2,28,1,16,0
435LG-27,4.b,2,55.1,5.96,2021,2,28,5,59,0
436A--7,4.a,3,58.49,-1.44,1985,10,9,1,30,1
436LG-33,4.b,2,54.13,5.237,2021,3,21,7,53,1
436LG-43,4.c,1,52.763,3.73,2021,3,21,12,37,2
436M--13,4.a,3,58.053,1.673,2016,2,10,23,56,1
437A--11,4.a,3,59.15,-1.3,1985,11,19,21,33,0
438BA-1,7.d,4,50.47550049,-1.500333277,2007,9,30,12,34,1
438LG-21,4.b,2,55.847,6.787,2021,5,13,15,0,1
438LG-45,4.c,1,52.402,3.508,2021,5,14,3,39,2
438M--3,4.b,2,57.367,-1.205,2016,4,6,16,4,2
439A--13,4.a,3,59.48,-1.23,1986,1,16,20,58,0
439BA-1,7.d,4,50.47290446,-1.529878362,2007,10,28,12,42,1
439LG-29,4.b,2,54.767,5.653,2021,7,18,6,9,2
439M--1,4.b,2,57.225,-1.73,2016,5,11,15,14,2
43KC-5,4.a,3,58.12,4.628,2016,6,11,12,19,2
43KC-17,4.b,2,56.403,2.782,2016,6,11,21,26,1
43LE-5,4.b,2,55.2017,0.0817,1983,5,7,19,47,2
43LE-17,4.b,2,55.2867,3.58,1983,5,8,2,35,0
43LE-29,4.b,2,55.3733,7.085,1983,5,8,9,23,1
43LG-7,4.b,2,54.5067,4.7617,1984,10,20,21,47,1
43LG-23,4.b,2,56.635,7.5983,1984,10,20,7,58,1
